clip,family,tag,cov,conf
q05_deadlift,bar_hub,hub_smoke,1.0,0.672
q05_deadlift,bar_hub,hub_v1,1.0,0.794
q05_deadlift,bar_hub,hub_v2b,1.0,0.902
q05_deadlift,bar_hub,hub_v2l,1.0,0.901
q05_deadlift,bar_hub,hub_pwai,1.0,0.935
q05_deadlift,plates,plt_pw,1.0,0.909
q05_deadlift,plates,plt_prod,1.0,0.792
q05_deadlift,plates,plt_20b,1.0,0.873
q05_deadlift,plates,plt_20l,1.0,0.945
q05_deadlift,plates,plt_only,1.0,0.792
q05_deadlift,plates,plt_pwl,1.0,0.857
q05_deadlift,keypoints,kp_old,1.0,0.914
q05_deadlift,keypoints,kp_misc,1.0,0.914
q05_deadlift,keypoints,kp_skel17,1.0,0.875
q05_deadlift,keypoints,kp_v3b,1.0,0.815
q05_deadlift,keypoints,kp_v3l,1.0,0.845
q05_deadlift,keypoints,kp_20sep,1.0,0.897
q05_deadlift,segmentation,seg_pw,0.758,0.745
q05_deadlift,segmentation,seg_v1,0.792,0.811
q05_deadlift,segmentation,seg_v2b,1.0,0.924
q05_deadlift,segmentation,seg_v2l,1.0,0.96
q05_deadlift,lift,lift_prod,1.0,0.855
q05_deadlift,lift,lift_newv,1.0,0.966
q05_deadlift,view,view_v2,1.0,0.955
q05_deadlift,weight,weight_m,0.2,0.344
q06_deadlift,bar_hub,hub_btrk_b,1.0,0.802
q06_deadlift,bar_hub,hub_btrk_l,1.0,0.828
q06_deadlift,bar_hub,hub_smoke,1.0,0.733
q06_deadlift,bar_hub,hub_v1,1.0,0.802
q06_deadlift,bar_hub,hub_v2b,1.0,0.886
q06_deadlift,bar_hub,hub_v2l,1.0,0.889
q06_deadlift,bar_hub,hub_pwai,1.0,0.938
q06_deadlift,plates,plt_pw,1.0,0.888
q06_deadlift,plates,plt_prod,1.0,0.874
q06_deadlift,plates,plt_20b,1.0,0.894
q06_deadlift,plates,plt_20l,1.0,0.939
q06_deadlift,plates,plt_only,1.0,0.874
q06_deadlift,plates,plt_pwl,1.0,0.885
q06_deadlift,keypoints,kp_old,1.0,0.934
q06_deadlift,keypoints,kp_misc,1.0,0.933
q06_deadlift,keypoints,kp_skel17,1.0,0.817
q06_deadlift,keypoints,kp_v3b,1.0,0.844
q06_deadlift,keypoints,kp_v3l,1.0,0.84
q06_deadlift,keypoints,kp_20sep,1.0,0.877
q06_deadlift,segmentation,seg_pw,1.0,0.821
q06_deadlift,segmentation,seg_v1,1.0,0.965
q06_deadlift,segmentation,seg_v2b,1.0,0.968
q06_deadlift,segmentation,seg_v2l,1.0,0.97
q06_deadlift,lift,lift_prod,1.0,1.0
q06_deadlift,lift,lift_newv,1.0,0.999
q06_deadlift,view,view_v2,1.0,1.0
